Date,Campaign,Channel,Ad Spend,Impressions,Clicks,Conversions,Revenue,CPC,CPA,ROAS,CTR,CVR
2024-01-01,Google Ads - Week 1,Google Ads,1037.01,34566,716,23,6937.32,1.45,45.09,6.69,2.07,3.21
2024-01-01,Facebook Ads - Week 1,Facebook Ads,1517.61,101174,2132,56,10523.93,0.71,27.1,6.93,2.11,2.63
2024-01-01,LinkedIn Ads - Week 1,LinkedIn Ads,1034.81,21558,697,38,21613.73,1.48,27.23,20.89,3.23,5.45
2024-01-01,Email Marketing - Week 1,Email Marketing,246.64,12331,760,45,10148.24,0.32,5.48,41.15,6.16,5.92
2024-01-08,Google Ads - Week 2,Google Ads,1234.72,41157,1021,39,12842.04,1.21,31.66,10.4,2.48,3.82
2024-01-08,Facebook Ads - Week 2,Facebook Ads,1231.47,82097,1411,30,5905.7,0.87,41.05,4.8,1.72,2.13
2024-01-08,LinkedIn Ads - Week 2,LinkedIn Ads,918.94,19144,552,27,15011.0,1.66,34.03,16.34,2.88,4.89
2024-01-08,Email Marketing - Week 2,Email Marketing,244.17,12208,748,44,9733.89,0.33,5.55,39.87,6.13,5.88
2024-01-15,Google Ads - Week 3,Google Ads,1088.97,36298,798,27,8533.34,1.36,40.33,7.84,2.2,3.38
2024-01-15,Facebook Ads - Week 3,Facebook Ads,1457.87,97191,1987,50,9620.41,0.73,29.16,6.6,2.04,2.52
2024-01-15,LinkedIn Ads - Week 3,LinkedIn Ads,1101.27,22943,797,47,26889.23,1.38,23.43,24.42,3.47,5.9
2024-01-15,Email Marketing - Week 3,Email Marketing,245.0,12250,757,45,9455.02,0.32,5.44,38.59,6.18,5.94
2024-01-22,Google Ads - Week 4,Google Ads,1192.75,39758,962,36,12029.21,1.24,33.13,10.09,2.42,3.74
2024-01-22,Facebook Ads - Week 4,Facebook Ads,1232.43,82161,1427,30,4987.78,0.86,41.08,4.05,1.74,2.1
2024-01-22,LinkedIn Ads - Week 4,LinkedIn Ads,951.97,19832,598,30,17102.27,1.59,31.73,17.97,3.02,5.02
2024-01-22,Email Marketing - Week 4,Email Marketing,250.28,12513,794,48,9142.4,0.32,5.21,36.53,6.35,6.05
2024-01-29,Google Ads - Week 5,Google Ads,1060.68,35355,765,25,8400.19,1.39,42.43,7.92,2.16,3.27
2024-01-29,Facebook Ads - Week 5,Facebook Ads,1408.78,93918,1874,46,8923.45,0.75,30.63,6.33,2.0,2.45
2024-01-29,LinkedIn Ads - Week 5,LinkedIn Ads,851.39,17737,481,22,12073.32,1.77,38.7,14.18,2.71,4.57
2024-01-29,Email Marketing - Week 5,Email Marketing,270.16,13508,930,61,12305.33,0.29,4.43,45.55,6.88,6.56
2024-02-05,Google Ads - Week 6,Google Ads,1368.81,45627,1280,56,16599.39,1.07,24.44,12.13,2.81,4.38
2024-02-05,Facebook Ads - Week 6,Facebook Ads,1481.17,98744,2082,54,8832.11,0.71,27.43,5.96,2.11,2.59
2024-02-05,LinkedIn Ads - Week 6,LinkedIn Ads,955.38,19903,609,31,18574.29,1.57,30.82,19.44,3.06,5.09
2024-02-05,Email Marketing - Week 6,Email Marketing,272.74,13636,953,64,13597.59,0.29,4.26,49.86,6.99,6.72
2024-02-12,Google Ads - Week 7,Google Ads,1354.49,45149,1259,54,18380.74,1.08,25.08,13.57,2.79,4.29
2024-02-12,Facebook Ads - Week 7,Facebook Ads,1385.67,92377,1831,45,7777.43,0.76,30.79,5.61,1.98,2.46
2024-02-12,LinkedIn Ads - Week 7,LinkedIn Ads,827.12,17231,458,20,10768.89,1.81,41.36,13.02,2.66,4.37
2024-02-12,Email Marketing - Week 7,Email Marketing,260.02,13001,870,56,10858.78,0.3,4.64,41.76,6.69,6.44
2024-02-19,Google Ads - Week 8,Google Ads,1347.66,44921,1253,54,17664.59,1.08,24.96,13.11,2.79,4.31
2024-02-19,Facebook Ads - Week 8,Facebook Ads,1412.43,94162,1911,48,8601.44,0.74,29.43,6.09,2.03,2.51
2024-02-19,LinkedIn Ads - Week 8,LinkedIn Ads,906.84,18892,554,27,15426.57,1.64,33.59,17.01,2.93,4.87
2024-02-19,Email Marketing - Week 8,Email Marketing,216.83,10841,608,32,7309.94,0.36,6.78,33.71,5.61,5.26
2024-02-26,Google Ads - Week 9,Google Ads,1085.09,36169,816,28,9155.31,1.33,38.75,8.44,2.26,3.43
2024-02-26,Facebook Ads - Week 9,Facebook Ads,1367.33,91155,1800,44,7469.28,0.76,31.08,5.46,1.97,2.44
2024-02-26,LinkedIn Ads - Week 9,LinkedIn Ads,998.94,20811,675,37,22146.32,1.48,27.0,22.17,3.24,5.48
2024-02-26,Email Marketing - Week 9,Email Marketing,235.65,11782,721,42,7989.86,0.33,5.61,33.91,6.12,5.83
2024-03-04,Google Ads - Week 10,Google Ads,1499.51,49983,1253,49,15618.54,1.2,30.6,10.42,2.51,3.91
2024-03-04,Facebook Ads - Week 10,Facebook Ads,1739.95,115996,2343,59,10707.47,0.74,29.49,6.15,2.02,2.52
2024-03-04,LinkedIn Ads - Week 10,LinkedIn Ads,1266.5,26385,873,49,27429.17,1.45,25.85,21.66,3.31,5.61
2024-03-04,Email Marketing - Week 10,Email Marketing,308.76,15437,996,62,13282.44,0.31,4.98,43.02,6.45,6.22
2024-03-11,Google Ads - Week 11,Google Ads,1421.82,47393,1132,42,12355.09,1.26,33.85,8.69,2.39,3.71
2024-03-11,Facebook Ads - Week 11,Facebook Ads,1975.01,131667,3033,87,14819.87,0.65,22.7,7.5,2.3,2.87
