Date,MRR,Active Customers,New Signups,Churned Customers,Churn Rate,Free Users,Pro Users,Enterprise Users,Active Users,Expansion Revenue
2024-01-01,5536,97,2,0,0.0,33,48,16,80,0
2024-01-02,5585,99,2,0,0.0,34,49,16,70,0
2024-01-03,5683,102,3,0,0.0,35,51,16,80,0
2024-01-04,5931,105,3,0,0.0,36,52,17,84,1509.46
2024-01-05,6029,109,4,0,0.0,38,54,17,84,0
2024-01-06,6029,109,0,0,0.0,38,54,17,73,0
2024-01-07,6078,110,1,0,0.0,38,55,17,89,0
2024-01-08,6326,113,3,0,0.0,39,56,18,79,0
2024-01-09,6424,116,3,0,0.0,40,58,18,86,0
2024-01-10,6522,120,4,0,0.0,42,60,18,98,0
2024-01-11,6770,123,3,0,0.0,43,61,19,97,1601.48
2024-01-12,6868,126,3,0,0.0,44,63,19,104,0
2024-01-13,6868,126,0,0,0.0,44,63,19,85,0
2024-01-14,6868,126,0,0,0.0,44,63,19,96,0
2024-01-15,7165,130,4,0,0.0,45,65,20,86,0
2024-01-16,7462,134,4,0,0.0,46,67,21,105,0
2024-01-17,7710,137,3,0,0.0,47,68,22,99,0
2024-01-18,7808,141,4,0,0.0,49,70,22,105,1027.15
2024-01-19,8105,145,4,0,0.0,50,72,23,96,0
2024-01-20,7955,146,1,0,0.0,51,73,22,120,0
2024-01-21,7955,146,0,0,0.0,51,73,22,97,0
2024-01-22,8203,149,3,0,0.0,52,74,23,120,1354.27
2024-01-23,8451,151,2,0,0.0,52,75,24,111,0
2024-01-24,8598,156,5,0,0.0,54,78,24,123,0
2024-01-25,8696,160,4,0,0.0,56,80,24,121,0
2024-01-26,8993,164,4,0,0.0,57,82,25,125,0
2024-01-27,9192,165,1,0,0.0,57,82,26,120,0
2024-01-28,9042,166,1,0,0.0,58,83,25,121,0
2024-01-29,9339,170,4,0,0.0,59,85,26,115,0
2024-01-30,9636,174,4,0,0.0,60,87,27,144,0
2024-01-31,9884,177,3,0,0.0,61,88,28,127,0
2024-02-01,9982,180,3,0,0.0,62,90,28,133,0
2024-02-02,10080,184,4,0,0.0,64,92,28,135,0
2024-02-03,10080,184,0,0,0.0,64,92,28,125,0
2024-02-04,10080,184,0,0,0.0,64,92,28,121,0
2024-02-05,10377,188,4,0,0.0,65,94,29,159,0
2024-02-06,10475,192,4,0,0.0,67,96,29,161,0
2024-02-07,10971,197,5,0,0.0,68,98,31,152,0
2024-02-08,10870,200,3,0,0.0,70,100,30,143,0
2024-02-09,11118,203,3,0,0.0,71,101,31,146,0
2024-02-10,11118,203,0,0,0.0,71,101,31,140,0
2024-02-11,11167,204,1,0,0.0,71,102,31,146,0
2024-02-12,11415,207,3,0,0.0,72,103,32,164,0
2024-02-13,11712,211,4,0,0.0,73,105,33,140,0
2024-02-14,11859,216,5,0,0.0,75,108,33,183,992.8
2024-02-15,12156,221,5,0,0.0,77,110,34,146,0
2024-02-16,12205,223,2,0,0.0,78,111,34,161,0
2024-02-17,12254,224,1,0,0.0,78,112,34,149,0
2024-02-18,12254,224,0,0,0.0,78,112,34,165,0
2024-02-19,12551,228,4,0,0.0,79,114,35,150,0
2024-02-20,12649,232,4,0,0.0,81,116,35,154,0
2024-02-21,12946,236,4,0,0.0,82,118,36,194,0
2024-02-22,13044,240,4,0,0.0,84,120,36,186,0
2024-02-23,13292,243,3,0,0.0,85,121,37,181,0
2024-02-24,13341,244,1,0,0.0,85,122,37,185,0
2024-02-25,13540,245,1,0,0.0,85,122,38,160,0
2024-02-26,13589,247,2,0,0.0,86,123,38,179,0
2024-02-27,13736,252,5,0,0.0,88,126,38,164,0
2024-02-28,13984,254,2,0,0.0,88,127,39,212,0
2024-02-29,14082,258,4,0,0.0,90,129,39,206,1314.14
2024-03-01,14379,262,4,0,0.0,91,131,40,222,0
2024-03-02,14379,263,1,0,0.0,92,131,40,189,0
2024-03-03,14379,263,0,0,0.0,92,131,40,178,0
2024-03-04,14627,265,2,0,0.0,92,132,41,202,0
2024-03-05,14725,268,3,0,0.0,93,134,41,223,0
2024-03-06,14823,272,4,0,0.0,95,136,41,202,1543.18
2024-03-07,15071,275,3,0,0.0,96,137,42,216,0
2024-03-08,15368,279,4,0,0.0,97,139,43,197,0
2024-03-09,15368,279,0,0,0.0,97,139,43,181,0
2024-03-10,15218,280,1,0,0.0,98,140,42,200,0
2024-03-11,15515,284,4,0,0.0,99,142,43,196,0
2024-03-12,15812,288,4,0,0.0,100,144,44,193,0
2024-03-13,15861,290,2,0,0.0,101,145,44,243,0
2024-03-14,16158,294,4,0,0.0,102,147,45,241,1605.84
2024-03-15,16207,296,2,0,0.0,103,148,45,217,0
2024-03-16,16207,296,0,0,0.0,103,148,45,224,0
2024-03-17,16207,296,0,0,0.0,103,148,45,245,1088.87
2024-03-18,16455,299,3,0,0.0,104,149,46,211,0
2024-03-19,16602,304,5,0,0.0,106,152,46,243,0
2024-03-20,16899,309,5,0,0.0,108,154,47,253,0
2024-03-21,17196,313,4,0,0.0,109,156,48,229,0
2024-03-22,17343,318,5,0,0.0,111,159,48,249,0
2024-03-23,17542,319,1,0,0.0,111,159,49,230,0
2024-03-24,17542,319,0,0,0.0,111,159,49,208,0
2024-03-25,17640,322,3,0,0.0,112,161,49,231,0
2024-03-26,17738,326,4,0,0.0,114,163,49,240,0
2024-03-27,18035,330,4,0,0.0,115,165,50,225,0
2024-03-28,18332,334,4,0,0.0,116,167,51,277,0
2024-03-29,18430,338,4,0,0.0,118,169,51,271,0
2024-03-30,18430,338,0,0,0.0,118,169,51,225,0
2024-03-31,18629,339,1,0,0.0,118,169,52,252,0
2024-04-01,18727,343,4,0,0.0,120,171,52,226,0
2024-04-02,18825,346,3,0,0.0,121,173,52,280,0
2024-04-03,19122,350,4,0,0.0,122,175,53,293,0
2024-04-04,19419,354,4,0,0.0,123,177,54,249,0
2024-04-05,19468,356,2,0,0.0,124,178,54,267,0
2024-04-06,19468,356,0,0,0.0,124,178,54,270,0
2024-04-07,19667,357,1,0,0.0,124,178,55,248,0
2024-04-08,19765,360,3,0,0.0,125,180,55,269,0
2024-04-09,19814,363,3,0,0.0,127,181,55,274,0
2024-04-10,20160,368,5,0,0.0,128,184,56,283,0
2024-04-11,20408,371,3,0,0.0,129,185,57,242,811.79
2024-04-12,20555,376,5,0,0.0,131,188,57,260,0
2024-04-13,20555,376,0,0,0.0,131,188,57,253,0
2024-04-14,20754,377,1,0,0.0,131,188,58,303,0
2024-04-15,20653,380,3,0,0.0,133,190,57,266,0
2024-04-16,20950,384,4,0,0.0,134,192,58,310,0
2024-04-17,21198,387,3,0,0.0,135,193,59,321,1305.9
2024-04-18,21247,389,2,0,0.0,136,194,59,265,0
2024-04-19,21544,393,4,0,0.0,137,196,60,313,0
2024-04-20,21593,394,1,0,0.0,137,197,60,268,0
2024-04-21,21593,394,0,0,0.0,137,197,60,276,0
2024-04-22,21691,398,4,0,0.0,139,199,60,289,0
2024-04-23,21988,402,4,0,0.0,140,201,61,270,0
2024-04-24,22236,405,3,0,0.0,141,202,62,293,0
2024-04-25,22334,409,4,0,0.0,143,204,62,327,0
2024-04-26,22631,413,4,0,0.0,144,206,63,275,0
2024-04-27,22631,413,0,0,0.0,144,206,63,292,0
2024-04-28,22680,414,1,0,0.0,144,207,63,304,0
2024-04-29,22778,418,4,0,0.0,146,209,63,290,0
2024-04-30,23075,422,4,0,0.0,147,211,64,312,0
2024-05-01,23323,425,3,0,0.0,148,212,65,286,0
2024-05-02,23421,428,3,0,0.0,149,214,65,289,0
2024-05-03,23519,432,4,0,0.0,151,216,65,303,0
2024-05-04,23718,433,1,0,0.0,151,216,66,364,0
2024-05-05,23767,434,1,0,0.0,151,217,66,335,0
2024-05-06,24015,437,3,0,0.0,152,218,67,311,0
2024-05-07,24113,441,4,0,0.0,154,220,67,309,0
2024-05-08,24211,444,3,0,0.0,155,222,67,374,0
2024-05-09,24508,449,5,0,0.0,157,224,68,324,1297.44
2024-05-10,24606,452,3,0,0.0,158,226,68,367,0
2024-05-11,24606,452,0,0,0.0,158,226,68,370,0
2024-05-12,24606,452,0,0,0.0,158,226,68,327,0
2024-05-13,24903,456,4,0,0.0,159,228,69,320,0
2024-05-14,25001,460,4,0,0.0,161,230,69,372,0
2024-05-15,25298,464,4,0,0.0,162,232,70,389,0
2024-05-16,25546,467,3,0,0.0,163,233,71,383,0
2024-05-17,25843,471,4,0,0.0,164,235,72,396,812.93
2024-05-18,25843,471,0,0,0.0,164,235,72,340,0
2024-05-19,25693,472,1,0,0.0,165,236,71,395,0
2024-05-20,25941,475,3,0,0.0,166,237,72,380,0
2024-05-21,26088,480,5,0,0.0,168,240,72,350,0
2024-05-22,26385,484,4,0,0.0,169,242,73,358,0
2024-05-23,26633,487,3,0,0.0,170,243,74,412,0
2024-05-24,26780,492,5,0,0.0,172,246,74,417,0
2024-05-25,26979,493,1,0,0.0,172,246,75,408,0
2024-05-26,26979,493,0,0,0.0,172,246,75,350,0
2024-05-27,27276,497,4,0,0.0,173,248,76,399,0
2024-05-28,27374,501,4,0,0.0,175,250,76,379,0
2024-05-29,27521,506,5,0,0.0,177,253,76,421,0
2024-05-30,27769,509,3,0,0.0,178,254,77,340,0
2024-05-31,27867,512,3,0,0.0,179,256,77,432,0
2024-06-01,27867,512,0,0,0.0,179,256,77,414,0
2024-06-02,28066,513,1,0,0.0,179,256,78,338,0
2024-06-03,28164,516,3,0,0.0,180,258,78,419,1293.56
2024-06-04,28262,520,4,0,0.0,182,260,78,361,0
2024-06-05,28559,524,4,0,0.0,183,262,79,374,0
2024-06-06,28807,527,3,0,0.0,184,263,80,410,1644.79
2024-06-07,29104,531,4,0,0.0,185,265,81,444,1891.36
2024-06-08,28954,532,1,0,0.0,186,266,80,350,727.97
2024-06-09,28954,532,0,0,0.0,186,266,80,378,0
2024-06-10,29450,537,5,0,0.0,187,268,82,351,0
2024-06-11,29548,541,4,0,0.0,189,270,82,451,0
2024-06-12,29845,545,4,0,0.0,190,272,83,462,0
2024-06-13,29943,548,3,0,0.0,191,274,83,394,0
2024-06-14,30191,551,3,0,0.0,192,275,84,424,0
2024-06-15,30041,552,1,0,0.0,193,276,83,396,0
2024-06-16,30041,552,0,0,0.0,193,276,83,431,0
2024-06-17,30289,555,3,0,0.0,194,277,84,446,0
2024-06-18,30387,558,3,0,0.0,195,279,84,430,1045.39
