Date,Product,Category,Revenue,Cost,Units Sold,Clicks,Impressions
2024-01-01,Alpha Widget,Widgets,1200,800,120,500,10000
2024-01-02,Beta Gadget,Gadgets,1500,900,150,600,12000
2024-01-03,Gamma Tool,Tools,800,400,80,300,5000
2024-01-04,Alpha Widget,Widgets,1300,850,130,550,11000
2024-01-05,Delta Device,Devices,2000,1200,100,800,15000
2024-01-06,Beta Gadget,Gadgets,1600,950,160,650,13000
2024-01-07,Gamma Tool,Tools,850,420,85,320,5200
2024-01-08,Alpha Widget,Widgets,1250,820,125,520,10500
2024-01-09,Delta Device,Devices,2100,1250,105,820,15500
2024-01-10,Beta Gadget,Gadgets,1550,920,155,620,12500
