Date,Product,Category,Units Sold,Revenue,Cost,Returns,Customer Acquisition Cost,Average Order Value
2024-01-01,Wireless Earbuds Pro,Audio,15,1079.87,525,0,176.92,71.99
2024-01-01,Smart Watch Ultra,Wearables,8,2399.92,1200,0,185.34,299.99
2024-01-01,Laptop Stand Premium,Accessories,12,539.89,216,0,102.08,44.99
2024-01-01,USB-C Hub 7-in-1,Accessories,20,799.8,300,1,169.02,39.99
2024-01-01,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,1,172.64,129.99
2024-01-01,Gaming Mouse Pro,Peripherals,14,979.86,392,1,304.64,69.99
2024-01-01,Webcam 4K,Peripherals,9,728.92,360,1,178.82,80.99
2024-01-01,Portable SSD 1TB,Storage,11,1319.89,660,0,267.0,119.99
2024-01-01,Phone Case Premium,Accessories,26,649.74,208,0,250.75,24.99
2024-01-01,Screen Protector 3-Pack,Accessories,31,464.69,124,3,673.36,14.99
2024-01-01,Wireless Charger Fast,Accessories,18,629.82,216,1,441.77,34.99
2024-01-01,Bluetooth Speaker,Audio,13,779.87,325,1,287.3,59.99
2024-01-01,Noise Cancelling Headphones,Audio,7,1399.93,630,0,124.7,199.99
2024-01-01,Tablet Stand Adjustable,Accessories,16,479.84,160,0,189.99,29.99
2024-01-01,Cable Organizer Set,Accessories,22,439.78,132,0,263.06,19.99
2024-01-02,Wireless Earbuds Pro,Audio,13,1039.87,455,1,184.63,79.99
2024-01-02,Smart Watch Ultra,Wearables,7,2099.93,1050,0,87.77,299.99
2024-01-02,Laptop Stand Premium,Accessories,10,499.9,180,1,183.55,49.99
2024-01-02,USB-C Hub 7-in-1,Accessories,17,679.83,255,1,183.22,39.99
2024-01-02,Mechanical Keyboard RGB,Peripherals,8,1039.92,440,1,151.04,129.99
2024-01-02,Gaming Mouse Pro,Peripherals,12,839.88,336,1,267.94,69.99
2024-01-02,Webcam 4K,Peripherals,7,629.93,280,0,59.82,89.99
2024-01-02,Portable SSD 1TB,Storage,9,1079.91,540,0,104.28,119.99
2024-01-02,Phone Case Premium,Accessories,22,549.78,176,2,293.69,24.99
2024-01-02,Screen Protector 3-Pack,Accessories,26,389.74,104,1,612.23,14.99
2024-01-02,Wireless Charger Fast,Accessories,15,524.85,180,0,182.89,34.99
2024-01-02,Bluetooth Speaker,Audio,11,659.89,275,0,197.32,59.99
2024-01-02,Noise Cancelling Headphones,Audio,6,1199.94,540,0,70.37,199.99
2024-01-02,Tablet Stand Adjustable,Accessories,14,419.86,140,1,133.64,29.99
2024-01-02,Cable Organizer Set,Accessories,19,341.83,114,0,354.67,17.99
2024-01-03,Wireless Earbuds Pro,Audio,16,1279.84,560,0,231.8,79.99
2024-01-03,Smart Watch Ultra,Wearables,8,2399.92,1200,0,196.07,299.99
2024-01-03,Laptop Stand Premium,Accessories,13,649.87,234,0,263.28,49.99
2024-01-03,USB-C Hub 7-in-1,Accessories,21,839.79,315,1,263.26,39.99
2024-01-03,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,153.91,129.99
2024-01-03,Gaming Mouse Pro,Peripherals,15,1049.85,420,2,343.34,69.99
2024-01-03,Webcam 4K,Peripherals,9,809.91,360,0,99.33,89.99
2024-01-03,Portable SSD 1TB,Storage,11,1319.89,660,1,143.81,119.99
2024-01-03,Phone Case Premium,Accessories,27,674.73,216,2,286.15,24.99
2024-01-03,Screen Protector 3-Pack,Accessories,32,479.68,128,2,679.57,14.99
2024-01-03,Wireless Charger Fast,Accessories,19,664.81,228,0,256.7,34.99
2024-01-03,Bluetooth Speaker,Audio,14,755.87,350,1,321.14,53.99
2024-01-03,Noise Cancelling Headphones,Audio,7,1399.93,630,0,62.89,199.99
2024-01-03,Tablet Stand Adjustable,Accessories,17,509.83,170,2,160.75,29.99
2024-01-03,Cable Organizer Set,Accessories,23,459.77,138,0,481.4,19.99
2024-01-04,Wireless Earbuds Pro,Audio,16,1279.84,560,1,277.55,79.99
2024-01-04,Smart Watch Ultra,Wearables,8,2399.92,1200,1,121.55,299.99
2024-01-04,Laptop Stand Premium,Accessories,12,599.88,216,1,244.91,49.99
2024-01-04,USB-C Hub 7-in-1,Accessories,21,839.79,315,1,523.27,39.99
2024-01-04,Mechanical Keyboard RGB,Peripherals,10,1299.9,550,0,167.99,129.99
2024-01-04,Gaming Mouse Pro,Peripherals,15,1049.85,420,0,206.21,69.99
2024-01-04,Webcam 4K,Peripherals,9,809.91,360,0,105.69,89.99
2024-01-04,Portable SSD 1TB,Storage,11,1187.9,660,1,130.81,107.99
2024-01-04,Phone Case Premium,Accessories,26,649.74,208,3,239.32,24.99
2024-01-04,Screen Protector 3-Pack,Accessories,32,479.68,128,3,372.54,14.99
2024-01-04,Wireless Charger Fast,Accessories,19,664.81,228,2,336.45,34.99
2024-01-04,Bluetooth Speaker,Audio,14,839.86,350,1,304.18,59.99
2024-01-04,Noise Cancelling Headphones,Audio,7,1399.93,630,0,107.3,199.99
2024-01-04,Tablet Stand Adjustable,Accessories,17,509.83,170,1,346.7,29.99
2024-01-04,Cable Organizer Set,Accessories,23,459.77,138,3,222.48,19.99
2024-01-05,Wireless Earbuds Pro,Audio,14,1119.86,490,1,171.18,79.99
2024-01-05,Smart Watch Ultra,Wearables,7,2099.93,1050,0,106.2,299.99
2024-01-05,Laptop Stand Premium,Accessories,11,549.89,198,0,260.65,49.99
2024-01-05,USB-C Hub 7-in-1,Accessories,19,759.81,285,2,329.76,39.99
